,"NOTE:  All mean and standard deviation variables are of type double and normalized between [-1, 1]"
Subject,"number representing the subject id, range is 1 - 30"
Activity,"string representing the activity recorded- WALKING2, WALKING_UPSTAIRS3, WALKING_DOWNSTAIRS4, SITTING5, STANDING6, LAYING"
MeanOfTBodyAccMeanY,Mean of the mean of the X body accelerometer data (time)
MeanOfTBodyAccMeanZ,Mean of the mean of the Y body accelerometer data (time)
MeanOfTGravityAccMeanX,Mean of the mean of the Z body accelerometer data (time) 
MeanOfTGravityAccMeanY,Mean of the mean of the X gravity accelerometer data (time)
MeanOfTGravityAccMeanZ,Mean of the mean of the Y gravity accelerometer data (time)
MeanOfTBodyAccJerkMeanX,Mean of the mean of the Z gravity accelerometer data (time) 
MeanOfTBodyAccJerkMeanY,Mean of the mean of the X body accelerometer data (time) derived to obtain Jerk signals (time) 
MeanOfTBodyAccJerkMeanZ,Mean of the mean of the Y body accelerometer data (time) derived to obtain Jerk signals (time) 
MeanOfTBodyGyroMeanX,Mean of the mean of the Z body accelerometer data (time) derived to obtain Jerk signals (time) 
MeanOfTBodyGyroMeanY,Mean of the mean of the X body gyroscope data (time)
MeanOfTBodyGyroMeanZ,Mean of the mean of the Y body gyroscope data (time)
MeanOfTBodyGyroJerkMeanX,Mean of the mean of the Z body gyroscope data (time) 
MeanOfTBodyGyroJerkMeanY,Mean of the mean of the X body gyroscope data (time) derived to obtain Jerk signals (time) 
MeanOfTBodyGyroJerkMeanZ,Mean of the mean of the Y body gyroscope data (time) derived to obtain Jerk signals (time) 
MeanOfTBodyAccMagMean,Mean of the mean of the Z body gyroscope data (time) derived to obtain Jerk signals (time) 
MeanOfTGravityAccMagMean,Mean of the mean of the magnitude of the XYZ accelerometer body signals (time)
MeanOfTBodyAccJerkMagMean,Mean of the mean of the magnitude of the XYZ accelerometer gravity signals (time)
MeanOfTBodyGyroMagMean,Mean of the mean of the magnitude of the XYZ jerk accelerometer body signals (time)
MeanOfTBodyGyroJerkMagMean,Mean of the mean of the magnitude of the XYZ gyroscope body signals (time)
MeanOfFBodyAccMeanX,Mean of the mean of the magnitude of the XYZ gyroscope jerk signals (time)
MeanOfFBodyAccMeanY,Mean of the mean of the Fast Fourier Transform of the X accelerometer body 
MeanOfFBodyAccMeanZ,Mean of the mean of the Fast Fourier Transform of the Y accelerometer body 
MeanOfFBodyAccMeanFreqX,Mean of the mean of the Fast Fourier Transform of the Z accelerometer body 
MeanOfFBodyAccMeanFreqY,Mean of the mean of the Fast Fourier Transform of the X accelerometer body frequency
